# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.509999999999999586e-05,1.092899999999999948e-03
2.000000000000000000e+02,1.437999999999999988e-04,1.508699999999999972e-03
5.000000000000000000e+02,2.636000000000000105e-04,2.034999999999999917e-03
1.000000000000000000e+03,5.975000000000000493e-04,3.097700000000000106e-03
2.000000000000000000e+03,1.281199999999999917e-03,4.506200000000000136e-03
5.000000000000000000e+03,2.945800000000000154e-03,5.688499999999999980e-03
1.000000000000000000e+04,5.693499999999999776e-03,8.406000000000000277e-03
2.000000000000000000e+04,1.260760000000000006e-02,1.163130000000000067e-02
5.000000000000000000e+04,2.934470000000000134e-02,1.728889999999999941e-02
1.000000000000000000e+05,5.772769999999999985e-02,2.493429999999999952e-02
1.000000000000000000e+06,4.428793999999999786e-01,6.380080000000000473e-02
