# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,6.250000000000000130e-04,3.071099999999999785e-03
2.000000000000000000e+02,1.212399999999999979e-03,4.276499999999999919e-03
5.000000000000000000e+02,3.028799999999999895e-03,6.672400000000000206e-03
1.000000000000000000e+03,6.199299999999999602e-03,9.641500000000000764e-03
2.000000000000000000e+03,1.238200000000000064e-02,1.356229999999999936e-02
5.000000000000000000e+03,3.084869999999999973e-02,1.853760000000000130e-02
1.000000000000000000e+04,5.979509999999999686e-02,2.545849999999999849e-02
2.000000000000000000e+04,1.143051999999999957e-01,3.610769999999999952e-02
5.000000000000000000e+04,2.610012999999999916e-01,4.635279999999999956e-02
1.000000000000000000e+05,4.453888999999999765e-01,6.078189999999999982e-02
