# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.706000000000000180e-04,2.807500000000000100e-03
2.000000000000000000e+02,6.202999999999999530e-04,4.285999999999999879e-03
5.000000000000000000e+02,1.590499999999999900e-03,6.855100000000000256e-03
1.000000000000000000e+03,3.022200000000000060e-03,9.518600000000000325e-03
2.000000000000000000e+03,6.003200000000000203e-03,1.311780000000000064e-02
5.000000000000000000e+03,1.476979999999999960e-02,2.045659999999999840e-02
1.000000000000000000e+04,2.921910000000000132e-02,2.921649999999999942e-02
2.000000000000000000e+04,5.987869999999999998e-02,4.145739999999999842e-02
5.000000000000000000e+04,1.442360000000000031e-01,5.768609999999999710e-02
1.000000000000000000e+05,2.928933000000000231e-01,8.153549999999999687e-02
