# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.115999999999999846e-04,3.067499999999999914e-03
2.000000000000000000e+02,5.850000000000000165e-04,4.168400000000000057e-03
5.000000000000000000e+02,1.464000000000000024e-03,6.620799999999999602e-03
1.000000000000000000e+03,2.766400000000000022e-03,9.034699999999999676e-03
2.000000000000000000e+03,5.720900000000000117e-03,1.297300000000000016e-02
5.000000000000000000e+03,1.468739999999999976e-02,2.067520000000000122e-02
1.000000000000000000e+04,2.921899999999999845e-02,2.931829999999999853e-02
2.000000000000000000e+04,5.593050000000000105e-02,4.058040000000000258e-02
5.000000000000000000e+04,1.405504999999999949e-01,5.704010000000000330e-02
1.000000000000000000e+05,2.797081000000000151e-01,8.049989999999999923e-02
