# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.334880000000000178e-02,3.173800000000000232e-02
2.000000000000000000e+02,1.059024999999999966e-01,4.602119999999999822e-02
5.000000000000000000e+02,2.551154999999999951e-01,6.751999999999999669e-02
1.000000000000000000e+03,4.415251000000000037e-01,8.119600000000000428e-02
2.000000000000000000e+03,7.072422999999999904e-01,9.518890000000000684e-02
5.000000000000000000e+03,1.072465800000000025e+00,7.401969999999999383e-02
1.000000000000000000e+04,1.251672700000000082e+00,6.462669999999999526e-02
2.000000000000000000e+04,1.353127699999999933e+00,5.061229999999999896e-02
5.000000000000000000e+04,1.460247999999999990e+00,4.647729999999999917e-02
1.000000000000000000e+05,1.558265999999999929e+00,5.505820000000000158e-02
1.000000000000000000e+06,1.938382400000000061e+00,5.641029999999999656e-02
