# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.634999999999999993e-04,2.025200000000000004e-03
2.000000000000000000e+02,7.177999999999999919e-04,2.870399999999999948e-03
5.000000000000000000e+02,1.828900000000000057e-03,4.589400000000000424e-03
1.000000000000000000e+03,3.848700000000000038e-03,6.605500000000000260e-03
2.000000000000000000e+03,7.507699999999999964e-03,9.104599999999999152e-03
5.000000000000000000e+03,1.890870000000000051e-02,1.308819999999999949e-02
1.000000000000000000e+04,3.658639999999999809e-02,1.811290000000000122e-02
2.000000000000000000e+04,7.104199999999999404e-02,2.412919999999999995e-02
5.000000000000000000e+04,1.621072000000000068e-01,3.555849999999999983e-02
1.000000000000000000e+05,2.851772000000000196e-01,4.596059999999999729e-02
