# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.017182999999999976e-01,6.372440000000000049e-02
2.000000000000000000e+02,1.978698000000000123e-01,8.010249999999999315e-02
5.000000000000000000e+02,4.525153000000000092e-01,1.194290999999999964e-01
1.000000000000000000e+03,8.211627999999999705e-01,1.611676999999999971e-01
2.000000000000000000e+03,1.417542000000000080e+00,1.780382000000000076e-01
5.000000000000000000e+03,2.555809399999999787e+00,2.327216000000000007e-01
1.000000000000000000e+04,3.533964099999999942e+00,2.312321999999999989e-01
2.000000000000000000e+04,4.541354799999999692e+00,2.208291000000000004e-01
5.000000000000000000e+04,5.570184499999999872e+00,1.960226999999999942e-01
1.000000000000000000e+05,6.204342399999999813e+00,1.865566999999999920e-01
1.000000000000000000e+06,7.894672800000000379e+00,1.372478000000000031e-01
