# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.174999999999999965e-04,2.346800000000000015e-03
2.000000000000000000e+02,2.349999999999999930e-04,3.314800000000000125e-03
5.000000000000000000e+02,6.156000000000000014e-04,5.343500000000000159e-03
1.000000000000000000e+03,1.231899999999999966e-03,7.566999999999999942e-03
2.000000000000000000e+03,2.341499999999999831e-03,1.050260000000000082e-02
5.000000000000000000e+03,6.405499999999999736e-03,1.741509999999999933e-02
1.000000000000000000e+04,1.276389999999999990e-02,2.435760000000000008e-02
2.000000000000000000e+04,2.587570000000000148e-02,3.420150000000000273e-02
5.000000000000000000e+04,6.543630000000000280e-02,4.855380000000000112e-02
1.000000000000000000e+05,1.249983000000000066e-01,6.764710000000000167e-02
