# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.923700000000000063e-02,2.672070000000000001e-02
2.000000000000000000e+02,3.750250000000000111e-02,3.149330000000000185e-02
5.000000000000000000e+02,9.389809999999999823e-02,4.941489999999999772e-02
1.000000000000000000e+03,1.881615000000000093e-01,6.894129999999999703e-02
2.000000000000000000e+03,3.663886000000000087e-01,9.685829999999999440e-02
5.000000000000000000e+03,9.275934000000000124e-01,1.524592999999999920e-01
1.000000000000000000e+04,1.767394700000000096e+00,2.017675999999999914e-01
2.000000000000000000e+04,3.143405700000000191e+00,2.375574000000000019e-01
5.000000000000000000e+04,4.946605100000000199e+00,2.061464000000000074e-01
1.000000000000000000e+05,5.854472200000000015e+00,1.632817000000000018e-01
1.000000000000000000e+06,7.479116999999999571e+00,1.152804999999999941e-01
