# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.150000000000000131e-04,3.443100000000000153e-03
2.000000000000000000e+02,6.451999999999999619e-04,4.905900000000000365e-03
5.000000000000000000e+02,1.889899999999999913e-03,8.427999999999999728e-03
1.000000000000000000e+03,3.582500000000000181e-03,1.154140000000000027e-02
2.000000000000000000e+03,6.888000000000000025e-03,1.608120000000000036e-02
5.000000000000000000e+03,1.760139999999999968e-02,2.599769999999999859e-02
1.000000000000000000e+04,3.429190000000000016e-02,3.551769999999999927e-02
2.000000000000000000e+04,6.842439999999999634e-02,5.101730000000000154e-02
5.000000000000000000e+04,1.680136999999999881e-01,6.829689999999999372e-02
1.000000000000000000e+05,3.267939999999999734e-01,9.705429999999999613e-02
