# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.738089999999999857e-02,3.455860000000000182e-02
2.000000000000000000e+02,1.125976000000000060e-01,4.628369999999999707e-02
5.000000000000000000e+02,2.588996000000000075e-01,6.803460000000000063e-02
1.000000000000000000e+03,4.610995999999999984e-01,8.562749999999999528e-02
2.000000000000000000e+03,7.500012999999999819e-01,9.978910000000000557e-02
5.000000000000000000e+03,1.245735100000000095e+00,9.684840000000000115e-02
1.000000000000000000e+04,1.521707200000000038e+00,9.098390000000000644e-02
2.000000000000000000e+04,1.791557300000000019e+00,7.232210000000000027e-02
5.000000000000000000e+04,2.002965000000000106e+00,6.047199999999999798e-02
1.000000000000000000e+05,2.181144399999999983e+00,6.238590000000000108e-02
1.000000000000000000e+06,2.631899799999999789e+00,5.742740000000000344e-02
