# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.114660000000000428e-02,4.677130000000000176e-02
2.000000000000000000e+02,1.390784999999999938e-01,6.473279999999999312e-02
5.000000000000000000e+02,3.500022999999999884e-01,1.016559999999999964e-01
1.000000000000000000e+03,6.376165999999999778e-01,1.347932000000000019e-01
2.000000000000000000e+03,1.171287699999999932e+00,1.773722000000000076e-01
5.000000000000000000e+03,2.180420100000000083e+00,1.881006000000000067e-01
1.000000000000000000e+04,3.014389299999999938e+00,1.870898000000000005e-01
2.000000000000000000e+04,3.765194000000000152e+00,1.955227999999999966e-01
5.000000000000000000e+04,4.585294499999999829e+00,1.507842000000000071e-01
1.000000000000000000e+05,5.158247300000000202e+00,1.505000999999999978e-01
1.000000000000000000e+06,6.512337399999999832e+00,1.168253999999999959e-01
