# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.917999999999999912e-04,3.854499999999999853e-03
2.000000000000000000e+02,5.274000000000000259e-04,5.219900000000000408e-03
5.000000000000000000e+02,1.346600000000000097e-03,8.383200000000000374e-03
1.000000000000000000e+03,2.401299999999999876e-03,1.115889999999999938e-02
2.000000000000000000e+03,5.207100000000000097e-03,1.631660000000000055e-02
5.000000000000000000e+03,1.276940000000000019e-02,2.550790000000000002e-02
1.000000000000000000e+04,2.591250000000000150e-02,3.632570000000000243e-02
2.000000000000000000e+04,5.171239999999999865e-02,5.148889999999999717e-02
5.000000000000000000e+04,1.267350999999999894e-01,7.041559999999999486e-02
1.000000000000000000e+05,2.428846000000000060e-01,9.659339999999999593e-02
