# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.536999999999999780e-04,2.989100000000000177e-03
2.000000000000000000e+02,7.498000000000000108e-04,4.314199999999999806e-03
5.000000000000000000e+02,1.825900000000000092e-03,6.699400000000000320e-03
1.000000000000000000e+03,3.721599999999999821e-03,9.631000000000000671e-03
2.000000000000000000e+03,7.241499999999999673e-03,1.344689999999999948e-02
5.000000000000000000e+03,1.849779999999999827e-02,2.148140000000000119e-02
1.000000000000000000e+04,3.663079999999999808e-02,3.010080000000000047e-02
2.000000000000000000e+04,7.336380000000000678e-02,3.657379999999999659e-02
5.000000000000000000e+04,1.766974000000000045e-01,5.786229999999999846e-02
1.000000000000000000e+05,3.381570999999999882e-01,7.890679999999999916e-02
