# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.620409999999999906e-02,1.538220000000000039e-02
2.000000000000000000e+02,3.136780000000000124e-02,1.869530000000000150e-02
5.000000000000000000e+02,7.939200000000000423e-02,2.956860000000000044e-02
1.000000000000000000e+03,1.541760000000000075e-01,4.068719999999999976e-02
2.000000000000000000e+03,2.834148000000000223e-01,5.116300000000000014e-02
5.000000000000000000e+03,6.392868000000000439e-01,7.745910000000000295e-02
1.000000000000000000e+04,1.091269899999999904e+00,9.153600000000000625e-02
2.000000000000000000e+04,1.661305199999999926e+00,9.693999999999999839e-02
5.000000000000000000e+04,2.440664599999999851e+00,8.850689999999999946e-02
1.000000000000000000e+05,2.937032600000000215e+00,7.634580000000000533e-02
1.000000000000000000e+06,4.107249399999999717e+00,5.834709999999999896e-02
