# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.229999999999999994e-04,1.981999999999999821e-03
2.000000000000000000e+02,4.267000000000000176e-04,2.749199999999999821e-03
5.000000000000000000e+02,9.728999999999999584e-04,4.167900000000000424e-03
1.000000000000000000e+03,2.144200000000000186e-03,6.183600000000000034e-03
2.000000000000000000e+03,4.277800000000000005e-03,8.675399999999999778e-03
5.000000000000000000e+03,1.046790000000000047e-02,1.339189999999999998e-02
1.000000000000000000e+04,1.998410000000000117e-02,1.605109999999999870e-02
2.000000000000000000e+04,4.142389999999999961e-02,2.383690000000000114e-02
5.000000000000000000e+04,9.568999999999999728e-02,3.459630000000000344e-02
1.000000000000000000e+05,1.759796000000000138e-01,4.678770000000000151e-02
