# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.305389999999999912e-02,3.720169999999999727e-02
2.000000000000000000e+02,8.732289999999999497e-02,4.984129999999999810e-02
5.000000000000000000e+02,2.095531999999999950e-01,7.581670000000000076e-02
1.000000000000000000e+03,3.877399000000000262e-01,1.032446000000000058e-01
2.000000000000000000e+03,7.495853000000000099e-01,1.348326999999999998e-01
5.000000000000000000e+03,1.549962400000000073e+00,1.842407000000000072e-01
1.000000000000000000e+04,2.493804299999999863e+00,2.001418000000000086e-01
2.000000000000000000e+04,3.500608900000000023e+00,2.160011000000000014e-01
5.000000000000000000e+04,4.917289499999999869e+00,1.955567000000000000e-01
1.000000000000000000e+05,5.867923300000000175e+00,1.851986999999999939e-01
1.000000000000000000e+06,8.154184499999999503e+00,1.340996999999999884e-01
