# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.049999999999999781e-04,3.398500000000000045e-03
2.000000000000000000e+02,8.584999999999999966e-04,4.955900000000000062e-03
5.000000000000000000e+02,2.136199999999999991e-03,6.718799999999999599e-03
1.000000000000000000e+03,4.246800000000000228e-03,9.523800000000000668e-03
2.000000000000000000e+03,8.596200000000000022e-03,1.346359999999999918e-02
5.000000000000000000e+03,1.866699999999999957e-02,2.032240000000000088e-02
1.000000000000000000e+04,3.884560000000000096e-02,2.711039999999999978e-02
2.000000000000000000e+04,7.940830000000000111e-02,4.023779999999999718e-02
5.000000000000000000e+04,1.779168000000000138e-01,5.596559999999999729e-02
1.000000000000000000e+05,3.363599999999999923e-01,7.770639999999999492e-02
1.000000000000000000e+06,1.130077299999999951e+00,8.471449999999999814e-02
