# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+02,2.900000000000000186e-06,2.851999999999999934e-04
1.000000000000000000e+03,8.600000000000000670e-06,4.939000000000000248e-04
2.000000000000000000e+03,3.419999999999999782e-05,9.874000000000000398e-04
5.000000000000000000e+03,9.699999999999999963e-05,1.660199999999999914e-03
1.000000000000000000e+04,1.568999999999999919e-04,2.109300000000000151e-03
2.000000000000000000e+04,3.536999999999999780e-04,3.181900000000000093e-03
5.000000000000000000e+04,8.584999999999999966e-04,4.923000000000000292e-03
1.000000000000000000e+05,1.652199999999999936e-03,6.855400000000000209e-03
