# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.406099999999999971e-03,5.329699999999999716e-03
2.000000000000000000e+02,3.342700000000000098e-03,8.566000000000000697e-03
5.000000000000000000e+02,9.488899999999999765e-03,1.423379999999999958e-02
1.000000000000000000e+03,1.651079999999999909e-02,1.879410000000000108e-02
2.000000000000000000e+03,3.407410000000000300e-02,2.642670000000000088e-02
5.000000000000000000e+03,8.585199999999999776e-02,4.009150000000000214e-02
1.000000000000000000e+04,1.548463999999999952e-01,5.519999999999999907e-02
2.000000000000000000e+04,3.039217000000000168e-01,8.533689999999999332e-02
5.000000000000000000e+04,5.763082999999999956e-01,1.049001999999999990e-01
1.000000000000000000e+05,8.325755999999999712e-01,1.113355000000000039e-01
1.000000000000000000e+06,1.404795400000000027e+00,4.849500000000000338e-02
