# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.497910000000000061e-02,2.639740000000000142e-02
2.000000000000000000e+02,5.170009999999999883e-02,3.665190000000000115e-02
5.000000000000000000e+02,1.258486000000000049e-01,5.580410000000000231e-02
1.000000000000000000e+03,2.625597000000000070e-01,7.937329999999999386e-02
2.000000000000000000e+03,4.795094999999999774e-01,1.060877999999999960e-01
5.000000000000000000e+03,1.143107199999999990e+00,1.626587999999999923e-01
1.000000000000000000e+04,2.154130900000000182e+00,2.195341000000000098e-01
2.000000000000000000e+04,3.884632199999999980e+00,3.040660000000000029e-01
5.000000000000000000e+04,7.279976600000000353e+00,3.455792999999999782e-01
1.000000000000000000e+05,9.795359299999999436e+00,3.151675999999999922e-01
1.000000000000000000e+06,1.463645400000000052e+01,1.937075000000000047e-01
