# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.341000000000000086e-04,5.989300000000000353e-03
2.000000000000000000e+02,1.324300000000000043e-03,8.148199999999999540e-03
5.000000000000000000e+02,3.313299999999999926e-03,1.269780000000000041e-02
1.000000000000000000e+03,6.798600000000000129e-03,1.831110000000000029e-02
2.000000000000000000e+03,1.287119999999999931e-02,2.512330000000000119e-02
5.000000000000000000e+03,3.150100000000000122e-02,3.392080000000000095e-02
1.000000000000000000e+04,6.523410000000000319e-02,5.035939999999999861e-02
2.000000000000000000e+04,1.289900999999999964e-01,6.640089999999999881e-02
5.000000000000000000e+04,3.002247000000000110e-01,1.020220000000000016e-01
1.000000000000000000e+05,5.830674000000000134e-01,1.265721999999999958e-01
