# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.980000000000000168e-05,1.243500000000000031e-03
2.000000000000000000e+02,1.614999999999999953e-04,1.765499999999999925e-03
5.000000000000000000e+02,3.424999999999999768e-04,2.602800000000000166e-03
1.000000000000000000e+03,7.705999999999999742e-04,3.903100000000000059e-03
2.000000000000000000e+03,1.597600000000000018e-03,5.557300000000000260e-03
5.000000000000000000e+03,3.565000000000000027e-03,8.329899999999999458e-03
1.000000000000000000e+04,7.497600000000000098e-03,1.042000000000000044e-02
2.000000000000000000e+04,1.558889999999999929e-02,1.485640000000000051e-02
5.000000000000000000e+04,3.710519999999999791e-02,2.422360000000000138e-02
1.000000000000000000e+05,7.159899999999999598e-02,3.174529999999999713e-02
