# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.092999999999999933e-04,5.042900000000000334e-03
2.000000000000000000e+02,1.583599999999999895e-03,7.139500000000000013e-03
5.000000000000000000e+02,3.938399999999999887e-03,1.111660000000000079e-02
1.000000000000000000e+03,7.791199999999999862e-03,1.578620000000000023e-02
2.000000000000000000e+03,1.560770000000000039e-02,2.218639999999999848e-02
5.000000000000000000e+03,3.786090000000000289e-02,3.403509999999999869e-02
1.000000000000000000e+04,7.760999999999999843e-02,4.381249999999999728e-02
2.000000000000000000e+04,1.487885999999999931e-01,5.765569999999999723e-02
5.000000000000000000e+04,3.548861999999999850e-01,8.765530000000000543e-02
1.000000000000000000e+05,6.195365000000000455e-01,9.893230000000000079e-02
1.000000000000000000e+06,1.901366600000000018e+00,9.582469999999999877e-02
