# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.135599999999999776e-03,1.478439999999999963e-02
2.000000000000000000e+02,1.649429999999999993e-02,2.105620000000000061e-02
5.000000000000000000e+02,3.932499999999999885e-02,2.917360000000000092e-02
1.000000000000000000e+03,7.788349999999999440e-02,3.943640000000000340e-02
2.000000000000000000e+03,1.598738000000000103e-01,5.304980000000000112e-02
5.000000000000000000e+03,3.701949999999999963e-01,7.826450000000000073e-02
1.000000000000000000e+04,6.505290999999999713e-01,9.945420000000000649e-02
2.000000000000000000e+04,1.048561199999999971e+00,1.090170000000000028e-01
5.000000000000000000e+04,1.595650599999999919e+00,9.740719999999999934e-02
1.000000000000000000e+05,1.923140199999999966e+00,9.274010000000000586e-02
1.000000000000000000e+06,2.794874200000000197e+00,8.863060000000000382e-02
