# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.878000000000000024e-04,3.266900000000000099e-03
2.000000000000000000e+02,5.270000000000000162e-04,4.500699999999999840e-03
5.000000000000000000e+02,1.334300000000000069e-03,7.113500000000000031e-03
1.000000000000000000e+03,2.646100000000000188e-03,9.929800000000000779e-03
2.000000000000000000e+03,5.378199999999999648e-03,1.408339999999999939e-02
5.000000000000000000e+03,1.341370000000000062e-02,2.263209999999999875e-02
1.000000000000000000e+04,2.681619999999999837e-02,3.138330000000000286e-02
2.000000000000000000e+04,5.354280000000000150e-02,4.427040000000000142e-02
5.000000000000000000e+04,1.325824999999999920e-01,5.935800000000000104e-02
1.000000000000000000e+05,2.647762000000000171e-01,8.992500000000000493e-02
