# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.275000000000000004e-04,3.209500000000000113e-03
2.000000000000000000e+02,3.002999999999999810e-04,3.740199999999999948e-03
5.000000000000000000e+02,1.160299999999999960e-03,7.230499999999999948e-03
1.000000000000000000e+03,2.270599999999999789e-03,1.017580000000000047e-02
2.000000000000000000e+03,4.529799999999999625e-03,1.432040000000000049e-02
5.000000000000000000e+03,1.138939999999999918e-02,2.278109999999999857e-02
1.000000000000000000e+04,2.276059999999999889e-02,3.248290000000000205e-02
2.000000000000000000e+04,4.507959999999999745e-02,4.490990000000000260e-02
5.000000000000000000e+04,1.126974000000000031e-01,7.134050000000000114e-02
1.000000000000000000e+05,2.227736999999999912e-01,8.893420000000000492e-02
