# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.329999999999999972e-05,4.709000000000000078e-04
2.000000000000000000e+02,4.000000000000000327e-05,8.149000000000000210e-04
5.000000000000000000e+02,8.990000000000000324e-05,1.062599999999999916e-03
1.000000000000000000e+03,1.116000000000000021e-04,1.378899999999999961e-03
2.000000000000000000e+03,2.998000000000000231e-04,1.947600000000000069e-03
5.000000000000000000e+03,7.860999999999999715e-04,3.183200000000000179e-03
1.000000000000000000e+04,1.527200000000000042e-03,4.303699999999999713e-03
2.000000000000000000e+04,3.622300000000000172e-03,6.738899999999999925e-03
5.000000000000000000e+04,8.508599999999999844e-03,9.780600000000000405e-03
1.000000000000000000e+05,1.554499999999999979e-02,1.543409999999999921e-02
1.000000000000000000e+06,1.159594000000000041e-01,3.896809999999999857e-02
