# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.512470000000000175e-02,2.384460000000000052e-02
2.000000000000000000e+02,7.092779999999999918e-02,3.290939999999999838e-02
5.000000000000000000e+02,1.673170999999999964e-01,4.927279999999999854e-02
1.000000000000000000e+03,3.424336000000000046e-01,6.839580000000000659e-02
2.000000000000000000e+03,6.093226000000000475e-01,9.611129999999999673e-02
5.000000000000000000e+03,1.390857599999999916e+00,1.264532999999999907e-01
1.000000000000000000e+04,2.133402100000000079e+00,1.311708000000000041e-01
2.000000000000000000e+04,2.819151999999999880e+00,1.028826000000000046e-01
5.000000000000000000e+04,3.379737399999999781e+00,9.179719999999999547e-02
1.000000000000000000e+05,3.719106599999999929e+00,8.125440000000000440e-02
1.000000000000000000e+06,4.568924799999999564e+00,7.070519999999999583e-02
