# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,9.300000000000000744e-06,6.564000000000000173e-04
2.000000000000000000e+02,1.390000000000000075e-05,8.038999999999999705e-04
5.000000000000000000e+02,3.249999999999999715e-05,1.227800000000000029e-03
1.000000000000000000e+03,9.749999999999999823e-05,2.125099999999999992e-03
2.000000000000000000e+03,1.902999999999999906e-04,2.966299999999999840e-03
5.000000000000000000e+03,4.316999999999999765e-04,4.455800000000000212e-03
1.000000000000000000e+04,9.424000000000000302e-04,6.741200000000000143e-03
2.000000000000000000e+04,1.815100000000000047e-03,9.257700000000000651e-03
5.000000000000000000e+04,4.298599999999999643e-03,1.414329999999999928e-02
1.000000000000000000e+05,9.024300000000000724e-03,2.034129999999999966e-02
