# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.741999999999999884e-04,3.367000000000000201e-03
2.000000000000000000e+02,7.269000000000000504e-04,4.745499999999999718e-03
5.000000000000000000e+02,1.551999999999999994e-03,6.847299999999999741e-03
1.000000000000000000e+03,2.941399999999999831e-03,9.528099999999999417e-03
2.000000000000000000e+03,6.075999999999999804e-03,1.369180000000000050e-02
5.000000000000000000e+03,1.486340000000000057e-02,2.143849999999999922e-02
1.000000000000000000e+04,2.957279999999999978e-02,2.551060000000000133e-02
2.000000000000000000e+04,5.777879999999999822e-02,3.490730000000000222e-02
5.000000000000000000e+04,1.368331999999999882e-01,5.394809999999999883e-02
1.000000000000000000e+05,2.508914999999999895e-01,6.913650000000000351e-02
