# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.431799999999999712e-03,1.798670000000000130e-02
2.000000000000000000e+02,1.745040000000000133e-02,2.560720000000000010e-02
5.000000000000000000e+02,4.297349999999999781e-02,4.043259999999999910e-02
1.000000000000000000e+03,8.690440000000000664e-02,5.678470000000000045e-02
2.000000000000000000e+03,1.713754000000000111e-01,6.902500000000000302e-02
5.000000000000000000e+03,4.388031000000000015e-01,1.093720999999999999e-01
1.000000000000000000e+04,8.514087999999999656e-01,1.548769999999999869e-01
2.000000000000000000e+04,1.661877000000000049e+00,2.173167000000000015e-01
5.000000000000000000e+04,3.538489300000000171e+00,2.557356000000000074e-01
1.000000000000000000e+05,5.169705500000000065e+00,2.409247999999999945e-01
1.000000000000000000e+06,8.803225700000000487e+00,1.716931999999999903e-01
