# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.023000000000000113e-04,2.146900000000000197e-03
2.000000000000000000e+02,5.010999999999999829e-04,3.403699999999999955e-03
5.000000000000000000e+02,1.051599999999999974e-03,4.868400000000000158e-03
1.000000000000000000e+03,2.249300000000000084e-03,7.257600000000000336e-03
2.000000000000000000e+03,4.498600000000000168e-03,1.017689999999999914e-02
5.000000000000000000e+03,1.113270000000000058e-02,1.586210000000000050e-02
1.000000000000000000e+04,2.257810000000000025e-02,2.285680000000000003e-02
2.000000000000000000e+04,4.428030000000000160e-02,3.159780000000000227e-02
5.000000000000000000e+04,1.086721999999999966e-01,4.351329999999999781e-02
1.000000000000000000e+05,2.188477000000000061e-01,6.112589999999999690e-02
