# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.415399999999999860e-03,1.439619999999999962e-02
2.000000000000000000e+02,6.510099999999999568e-03,1.998120000000000104e-02
5.000000000000000000e+02,1.671920000000000003e-02,3.216700000000000115e-02
1.000000000000000000e+03,3.350630000000000275e-02,4.598990000000000022e-02
2.000000000000000000e+03,6.786949999999999927e-02,5.533559999999999868e-02
5.000000000000000000e+03,1.614465999999999957e-01,8.314340000000000619e-02
1.000000000000000000e+04,3.435879000000000016e-01,1.160057000000000033e-01
2.000000000000000000e+04,7.153325000000000378e-01,1.771339000000000108e-01
5.000000000000000000e+04,1.959172499999999983e+00,3.021720999999999990e-01
1.000000000000000000e+05,5.354132199999999564e+00,6.084494999999999765e-01
1.000000000000000000e+06,2.032554920000000109e+01,3.100634999999999919e-01
