# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.942000000000000041e-04,4.233200000000000331e-03
2.000000000000000000e+02,3.051999999999999917e-04,5.303399999999999781e-03
5.000000000000000000e+02,8.048999999999999948e-04,8.589899999999999272e-03
1.000000000000000000e+03,1.729300000000000021e-03,1.259489999999999915e-02
2.000000000000000000e+03,3.514000000000000196e-03,1.811070000000000041e-02
5.000000000000000000e+03,7.101999999999999806e-03,2.574390000000000012e-02
1.000000000000000000e+04,1.576670000000000155e-02,3.804140000000000299e-02
2.000000000000000000e+04,3.147799999999999904e-02,5.383580000000000310e-02
5.000000000000000000e+04,8.050749999999999573e-02,8.673100000000000254e-02
1.000000000000000000e+05,1.585843999999999865e-01,1.204326000000000008e-01
