# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.071199999999999708e-03,1.676499999999999865e-02
2.000000000000000000e+02,1.359690000000000031e-02,2.313669999999999963e-02
5.000000000000000000e+02,3.547759999999999803e-02,3.724990000000000245e-02
1.000000000000000000e+03,7.112400000000000666e-02,4.565269999999999745e-02
2.000000000000000000e+03,1.439825000000000133e-01,6.360670000000000213e-02
5.000000000000000000e+03,3.752546999999999966e-01,1.047315000000000051e-01
1.000000000000000000e+04,7.783543000000000545e-01,1.519077000000000066e-01
2.000000000000000000e+04,1.705233199999999893e+00,2.355449000000000015e-01
5.000000000000000000e+04,5.292785799999999874e+00,3.623258999999999785e-01
1.000000000000000000e+05,8.250092999999999677e+00,2.732017999999999947e-01
1.000000000000000000e+06,1.175387710000000041e+01,1.483826000000000034e-01
