# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.275050999999999879e-01,7.663309999999999567e-02
2.000000000000000000e+02,4.161247000000000140e-01,1.107086999999999932e-01
5.000000000000000000e+02,8.890071000000000501e-01,1.302698999999999940e-01
1.000000000000000000e+03,1.308939599999999981e+00,1.439746000000000081e-01
2.000000000000000000e+03,1.752131099999999941e+00,1.321644999999999903e-01
5.000000000000000000e+03,2.211142000000000163e+00,1.127167000000000030e-01
1.000000000000000000e+04,2.412598899999999880e+00,8.536309999999999731e-02
2.000000000000000000e+04,2.539152000000000076e+00,7.256559999999999400e-02
5.000000000000000000e+04,2.726265600000000067e+00,7.804909999999999626e-02
1.000000000000000000e+05,2.991000699999999846e+00,1.079554000000000069e-01
1.000000000000000000e+06,4.261844800000000433e+00,1.170223999999999986e-01
