# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.619000000000000234e-04,3.238500000000000059e-03
2.000000000000000000e+02,6.407999999999999634e-04,5.041000000000000342e-03
5.000000000000000000e+02,1.632100000000000044e-03,8.126100000000000684e-03
1.000000000000000000e+03,3.248099999999999859e-03,1.146259999999999987e-02
2.000000000000000000e+03,6.451899999999999996e-03,1.607269999999999879e-02
5.000000000000000000e+03,1.518480000000000003e-02,2.457339999999999872e-02
1.000000000000000000e+04,3.102239999999999859e-02,3.509059999999999957e-02
2.000000000000000000e+04,6.117430000000000090e-02,4.318369999999999848e-02
5.000000000000000000e+04,1.478298000000000112e-01,6.584769999999999512e-02
1.000000000000000000e+05,2.830338000000000021e-01,8.924390000000000100e-02
