# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,9.537000000000000338e-04,6.603999999999999627e-03
2.000000000000000000e+02,1.736499999999999979e-03,8.805099999999999733e-03
5.000000000000000000e+02,4.530099999999999578e-03,1.418020000000000044e-02
1.000000000000000000e+03,8.623799999999999175e-03,1.934670000000000140e-02
2.000000000000000000e+03,1.675729999999999928e-02,2.733970000000000150e-02
5.000000000000000000e+03,4.219250000000000084e-02,4.347720000000000057e-02
1.000000000000000000e+04,8.247379999999999989e-02,6.054829999999999934e-02
2.000000000000000000e+04,1.642397999999999914e-01,7.528659999999999519e-02
5.000000000000000000e+04,3.974396000000000040e-01,1.100051999999999974e-01
1.000000000000000000e+05,7.140212000000000225e-01,1.439966000000000024e-01
