# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.422199999999999808e-03,1.211079999999999969e-02
2.000000000000000000e+02,6.480600000000000423e-03,1.659870000000000095e-02
5.000000000000000000e+02,1.679059999999999928e-02,2.659699999999999911e-02
1.000000000000000000e+03,3.393639999999999851e-02,3.827049999999999896e-02
2.000000000000000000e+03,6.795009999999999939e-02,4.576290000000000219e-02
5.000000000000000000e+03,1.678755000000000108e-01,7.289900000000000546e-02
1.000000000000000000e+04,3.247610000000000219e-01,1.012721000000000038e-01
2.000000000000000000e+04,6.229624000000000272e-01,1.320205999999999880e-01
5.000000000000000000e+04,1.478358899999999920e+00,2.094051000000000107e-01
1.000000000000000000e+05,2.698818300000000114e+00,2.855801000000000034e-01
1.000000000000000000e+06,1.292154999999999987e+01,2.606866999999999934e-01
