# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.439500000000000024e-03,5.666199999999999709e-03
2.000000000000000000e+02,2.724199999999999972e-03,7.724199999999999643e-03
5.000000000000000000e+02,6.775200000000000319e-03,1.229809999999999931e-02
1.000000000000000000e+03,1.361230000000000079e-02,1.754050000000000054e-02
2.000000000000000000e+03,2.633129999999999846e-02,2.342230000000000006e-02
5.000000000000000000e+03,6.714219999999999910e-02,3.180770000000000125e-02
1.000000000000000000e+04,1.321665999999999952e-01,4.529849999999999849e-02
2.000000000000000000e+04,2.503619000000000261e-01,6.102910000000000279e-02
5.000000000000000000e+04,5.374425000000000452e-01,7.970230000000000370e-02
1.000000000000000000e+05,9.192434999999999912e-01,9.665369999999999517e-02
