# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.096999999999999927e-04,3.050699999999999940e-03
2.000000000000000000e+02,5.986000000000000218e-04,4.263900000000000155e-03
5.000000000000000000e+02,1.376000000000000053e-03,6.475100000000000126e-03
1.000000000000000000e+03,2.826400000000000180e-03,9.106799999999999964e-03
2.000000000000000000e+03,5.795800000000000257e-03,1.310910000000000027e-02
5.000000000000000000e+03,1.458790000000000087e-02,2.102410000000000043e-02
1.000000000000000000e+04,2.824050000000000171e-02,2.866820000000000132e-02
2.000000000000000000e+04,5.609990000000000115e-02,3.514369999999999994e-02
5.000000000000000000e+04,1.359013000000000027e-01,5.569679999999999770e-02
1.000000000000000000e+05,2.559665999999999886e-01,7.397299999999999709e-02
