# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.144399999999999865e-03,7.970400000000000748e-03
2.000000000000000000e+02,4.559800000000000138e-03,1.156809999999999956e-02
5.000000000000000000e+02,1.146660000000000040e-02,1.821350000000000052e-02
1.000000000000000000e+03,2.219969999999999929e-02,2.558710000000000151e-02
2.000000000000000000e+03,4.459160000000000207e-02,3.079360000000000083e-02
5.000000000000000000e+03,1.113688000000000039e-01,5.046090000000000297e-02
1.000000000000000000e+04,2.151311999999999947e-01,6.740079999999999683e-02
2.000000000000000000e+04,4.136881000000000030e-01,8.945140000000000036e-02
5.000000000000000000e+04,8.424762000000000084e-01,1.159744000000000053e-01
1.000000000000000000e+05,1.275259799999999943e+00,1.120648999999999951e-01
1.000000000000000000e+06,2.138296099999999811e+00,6.581950000000000300e-02
