# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.743920000000000275e-02,5.740409999999999957e-02
2.000000000000000000e+02,1.125499999999999973e-01,6.958459999999999646e-02
5.000000000000000000e+02,2.860497000000000178e-01,1.084736000000000034e-01
1.000000000000000000e+03,5.633321000000000023e-01,1.584557000000000049e-01
2.000000000000000000e+03,1.070216899999999915e+00,2.001023000000000107e-01
5.000000000000000000e+03,2.463936299999999857e+00,3.006191999999999753e-01
1.000000000000000000e+04,4.100664100000000367e+00,3.174315999999999804e-01
2.000000000000000000e+04,5.632812999999999626e+00,2.700000000000000178e-01
5.000000000000000000e+04,7.049118700000000182e+00,1.989547999999999872e-01
1.000000000000000000e+05,7.700481100000000190e+00,1.840274000000000076e-01
1.000000000000000000e+06,9.229013999999999385e+00,2.016865999999999937e-01
