# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.607999999999999791e-04,4.181200000000000368e-03
2.000000000000000000e+02,9.254000000000000507e-04,5.938900000000000429e-03
5.000000000000000000e+02,2.461500000000000146e-03,9.744199999999999737e-03
1.000000000000000000e+03,4.823100000000000304e-03,1.369680000000000029e-02
2.000000000000000000e+03,9.223800000000000748e-03,1.914259999999999920e-02
5.000000000000000000e+03,2.366609999999999894e-02,3.007690000000000016e-02
1.000000000000000000e+04,4.608809999999999990e-02,4.186020000000000019e-02
2.000000000000000000e+04,9.310930000000000595e-02,5.894579999999999959e-02
5.000000000000000000e+04,2.262257000000000018e-01,8.125359999999999527e-02
1.000000000000000000e+05,4.304295000000000204e-01,1.083047000000000037e-01
