# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.235739999999999929e-02,1.170159999999999950e-02
2.000000000000000000e+02,2.481159999999999963e-02,1.629020000000000121e-02
5.000000000000000000e+02,6.109679999999999972e-02,2.578389999999999849e-02
1.000000000000000000e+03,1.095958999999999961e-01,3.438759999999999734e-02
2.000000000000000000e+03,2.133691000000000060e-01,4.540700000000000292e-02
5.000000000000000000e+03,4.568025000000000002e-01,6.668540000000000578e-02
1.000000000000000000e+04,7.309162999999999633e-01,7.134659999999999613e-02
2.000000000000000000e+04,1.092666300000000090e+00,7.482619999999999549e-02
5.000000000000000000e+04,1.609728100000000106e+00,8.029999999999999638e-02
1.000000000000000000e+05,1.980979400000000057e+00,7.142060000000000075e-02
1.000000000000000000e+06,3.080982199999999782e+00,7.052179999999999560e-02
