# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.468999999999999753e-04,2.900799999999999820e-03
2.000000000000000000e+02,6.568999999999999753e-04,3.981400000000000390e-03
5.000000000000000000e+02,1.697600000000000064e-03,6.455200000000000347e-03
1.000000000000000000e+03,3.331300000000000146e-03,9.035299999999999582e-03
2.000000000000000000e+03,6.564999999999999655e-03,1.281430000000000069e-02
5.000000000000000000e+03,1.626270000000000146e-02,2.007660000000000000e-02
1.000000000000000000e+04,3.367939999999999823e-02,2.853989999999999999e-02
2.000000000000000000e+04,6.406939999999999857e-02,3.375179999999999847e-02
5.000000000000000000e+04,1.576600999999999975e-01,5.128049999999999969e-02
1.000000000000000000e+05,3.006563999999999903e-01,7.046570000000000611e-02
