# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.054720000000000157e-02,2.660070000000000143e-02
2.000000000000000000e+02,4.189040000000000125e-02,3.786060000000000120e-02
5.000000000000000000e+02,1.014296999999999976e-01,5.160859999999999753e-02
1.000000000000000000e+03,1.975784999999999902e-01,6.762219999999999342e-02
2.000000000000000000e+03,3.508020000000000027e-01,8.691480000000000039e-02
5.000000000000000000e+03,6.903553999999999524e-01,1.006916000000000061e-01
1.000000000000000000e+04,1.057846400000000076e+00,1.105330000000000062e-01
2.000000000000000000e+04,1.381103200000000086e+00,9.443310000000000592e-02
5.000000000000000000e+04,1.731823200000000007e+00,8.936810000000000587e-02
1.000000000000000000e+05,1.907607499999999900e+00,7.064800000000000246e-02
1.000000000000000000e+06,2.350194000000000116e+00,8.735919999999999797e-02
