# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.403800000000000207e-03,8.720699999999999633e-03
2.000000000000000000e+02,4.723500000000000268e-03,1.203079999999999948e-02
5.000000000000000000e+02,1.137449999999999919e-02,1.888000000000000095e-02
1.000000000000000000e+03,2.389169999999999836e-02,2.679180000000000103e-02
2.000000000000000000e+03,4.726029999999999814e-02,3.124350000000000044e-02
5.000000000000000000e+03,1.178551000000000043e-01,5.096479999999999760e-02
1.000000000000000000e+04,2.298468999999999929e-01,6.654169999999999530e-02
2.000000000000000000e+04,4.676968000000000236e-01,9.069739999999999747e-02
5.000000000000000000e+04,1.126082199999999922e+00,1.483811999999999909e-01
1.000000000000000000e+05,2.243151899999999976e+00,2.120587999999999917e-01
1.000000000000000000e+06,1.134274579999999943e+01,2.709319000000000033e-01
