# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.156719999999999665e-02,3.221129999999999827e-02
2.000000000000000000e+02,6.773959999999999704e-02,4.231970000000000176e-02
5.000000000000000000e+02,1.682954999999999868e-01,6.817890000000000061e-02
1.000000000000000000e+03,3.425095000000000223e-01,9.365400000000000114e-02
2.000000000000000000e+03,6.351928999999999492e-01,1.207590000000000052e-01
5.000000000000000000e+03,1.415374799999999933e+00,1.887864999999999960e-01
1.000000000000000000e+04,2.492799300000000162e+00,2.224745999999999946e-01
2.000000000000000000e+04,4.267665100000000322e+00,2.823089999999999766e-01
5.000000000000000000e+04,6.954632300000000100e+00,2.896991999999999901e-01
1.000000000000000000e+05,8.790780200000000377e+00,2.466666999999999887e-01
1.000000000000000000e+06,1.227095049999999965e+01,1.650312999999999919e-01
