# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,6.530999999999999913e-04,4.958399999999999960e-03
2.000000000000000000e+02,1.563799999999999956e-03,7.527400000000000063e-03
5.000000000000000000e+02,3.646400000000000162e-03,1.149649999999999977e-02
1.000000000000000000e+03,7.615700000000000421e-03,1.669949999999999907e-02
2.000000000000000000e+03,1.465450000000000086e-02,2.266320000000000140e-02
5.000000000000000000e+03,3.691819999999999824e-02,3.657900000000000040e-02
1.000000000000000000e+04,7.447719999999999341e-02,5.150749999999999773e-02
2.000000000000000000e+04,1.468843999999999983e-01,6.312170000000000281e-02
5.000000000000000000e+04,3.433528000000000135e-01,9.580279999999999352e-02
1.000000000000000000e+05,6.246481000000000394e-01,1.203296999999999978e-01
