# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.449999999999999833e-04,3.840500000000000164e-03
2.000000000000000000e+02,6.857999999999999730e-04,5.360600000000000087e-03
5.000000000000000000e+02,1.615600000000000022e-03,8.171700000000000491e-03
1.000000000000000000e+03,3.706599999999999999e-03,1.230479999999999942e-02
2.000000000000000000e+03,7.362600000000000394e-03,1.747769999999999879e-02
5.000000000000000000e+03,1.818780000000000049e-02,2.783180000000000029e-02
1.000000000000000000e+04,3.654949999999999866e-02,3.883890000000000259e-02
2.000000000000000000e+04,7.070229999999999571e-02,5.383620000000000072e-02
5.000000000000000000e+04,1.761011000000000104e-01,7.482260000000000300e-02
1.000000000000000000e+05,3.418767999999999807e-01,1.028493000000000046e-01
