# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.919000000000000041e-04,4.621700000000000287e-03
2.000000000000000000e+02,1.467599999999999894e-03,6.277800000000000047e-03
5.000000000000000000e+02,4.008199999999999957e-03,1.035920000000000070e-02
1.000000000000000000e+03,8.029899999999999538e-03,1.465559999999999953e-02
2.000000000000000000e+03,1.604349999999999873e-02,2.084170000000000120e-02
5.000000000000000000e+03,4.003049999999999664e-02,2.847389999999999990e-02
1.000000000000000000e+04,7.920689999999999675e-02,4.073149999999999687e-02
2.000000000000000000e+04,1.486974000000000073e-01,5.391189999999999871e-02
5.000000000000000000e+04,3.431509999999999838e-01,7.731079999999999897e-02
1.000000000000000000e+05,5.785379999999999967e-01,9.340890000000000304e-02
