# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.833029999999999923e-02,2.109259999999999954e-02
2.000000000000000000e+02,5.358140000000000125e-02,2.806650000000000117e-02
5.000000000000000000e+02,1.302292999999999923e-01,4.156529999999999947e-02
1.000000000000000000e+03,2.496520000000000128e-01,5.657849999999999685e-02
2.000000000000000000e+03,4.465490999999999766e-01,7.006389999999999840e-02
5.000000000000000000e+03,8.237271000000000454e-01,8.412060000000000370e-02
1.000000000000000000e+04,1.171851200000000093e+00,8.461760000000000115e-02
2.000000000000000000e+04,1.469770800000000044e+00,7.647089999999999443e-02
5.000000000000000000e+04,1.778435699999999953e+00,6.159329999999999666e-02
1.000000000000000000e+05,1.948001700000000058e+00,5.537410000000000249e-02
1.000000000000000000e+06,2.641305200000000131e+00,9.778749999999999942e-02
