# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.095909999999999940e-02,2.372300000000000103e-02
2.000000000000000000e+02,2.205089999999999828e-02,3.252189999999999942e-02
5.000000000000000000e+02,5.281879999999999908e-02,4.221189999999999665e-02
1.000000000000000000e+03,1.021075000000000038e-01,6.057780000000000109e-02
2.000000000000000000e+03,1.989198000000000077e-01,7.970270000000000132e-02
5.000000000000000000e+03,4.498655999999999766e-01,1.151645000000000030e-01
1.000000000000000000e+04,7.832206999999999919e-01,1.484402999999999972e-01
2.000000000000000000e+04,1.301096800000000053e+00,1.841280999999999890e-01
5.000000000000000000e+04,2.481444900000000064e+00,2.390953000000000106e-01
1.000000000000000000e+05,3.770707499999999879e+00,2.609664999999999901e-01
1.000000000000000000e+06,7.425091899999999967e+00,1.718302999999999914e-01
