# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.406099999999999971e-03,8.224399999999999766e-03
2.000000000000000000e+02,2.812300000000000216e-03,1.183340000000000086e-02
5.000000000000000000e+02,6.465300000000000213e-03,1.786329999999999862e-02
1.000000000000000000e+03,1.338289999999999966e-02,2.512309999999999890e-02
2.000000000000000000e+03,2.764990000000000156e-02,3.647759999999999891e-02
5.000000000000000000e+03,6.824700000000000211e-02,5.748149999999999787e-02
1.000000000000000000e+04,1.294591999999999965e-01,6.859099999999999919e-02
2.000000000000000000e+04,2.548902000000000112e-01,9.323059999999999681e-02
5.000000000000000000e+04,5.778480000000000283e-01,1.297181000000000028e-01
1.000000000000000000e+05,1.016364800000000068e+00,1.625672999999999979e-01
