# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.470000000000000511e-04,5.517300000000000156e-03
2.000000000000000000e+02,1.358599999999999955e-03,7.434099999999999910e-03
5.000000000000000000e+02,3.415000000000000067e-03,1.184480000000000081e-02
1.000000000000000000e+03,6.920199999999999615e-03,1.666120000000000101e-02
2.000000000000000000e+03,1.402390000000000060e-02,2.389060000000000142e-02
5.000000000000000000e+03,3.476529999999999898e-02,3.738020000000000231e-02
1.000000000000000000e+04,6.908319999999999739e-02,5.306870000000000337e-02
2.000000000000000000e+04,1.331260999999999972e-01,7.283599999999999797e-02
5.000000000000000000e+04,3.242961999999999789e-01,1.004199999999999954e-01
1.000000000000000000e+05,5.913631999999999778e-01,1.265548999999999980e-01
