# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,6.360240000000000338e-02,7.608420000000000460e-02
2.000000000000000000e+02,1.238263000000000003e-01,8.930639999999999412e-02
5.000000000000000000e+02,3.126402999999999821e-01,1.402986999999999984e-01
1.000000000000000000e+03,6.279900000000000482e-01,1.974435999999999969e-01
2.000000000000000000e+03,1.248852999999999991e+00,2.860596999999999723e-01
5.000000000000000000e+03,2.866668400000000005e+00,4.108624000000000165e-01
1.000000000000000000e+04,4.940437300000000143e+00,4.360244999999999815e-01
2.000000000000000000e+04,6.954590299999999559e+00,3.791750999999999872e-01
5.000000000000000000e+04,8.884423800000000426e+00,3.304293999999999842e-01
1.000000000000000000e+05,9.996439600000000425e+00,2.445520999999999945e-01
1.000000000000000000e+06,1.201854600000000062e+01,2.170484000000000024e-01
