# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.293000000000000003e-04,4.689300000000000412e-03
2.000000000000000000e+02,1.392199999999999905e-03,6.537699999999999588e-03
5.000000000000000000e+02,3.595099999999999945e-03,1.033719999999999951e-02
1.000000000000000000e+03,7.512699999999999760e-03,1.526369999999999984e-02
2.000000000000000000e+03,1.458970000000000058e-02,2.099250000000000074e-02
5.000000000000000000e+03,3.647569999999999979e-02,3.330090000000000133e-02
1.000000000000000000e+04,7.223709999999999853e-02,4.642210000000000086e-02
2.000000000000000000e+04,1.412167000000000006e-01,5.642950000000000049e-02
5.000000000000000000e+04,3.454008000000000078e-01,8.505160000000000498e-02
1.000000000000000000e+05,6.378089000000000119e-01,1.146617999999999943e-01
