# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.684699999999999913e-03,1.023319999999999959e-02
2.000000000000000000e+02,3.230400000000000025e-03,1.406239999999999921e-02
5.000000000000000000e+02,8.701000000000000401e-03,2.300349999999999964e-02
1.000000000000000000e+03,1.701559999999999878e-02,3.214390000000000303e-02
2.000000000000000000e+03,3.442980000000000346e-02,4.590899999999999842e-02
5.000000000000000000e+03,8.253009999999999513e-02,6.989349999999999730e-02
1.000000000000000000e+04,1.652110999999999996e-01,9.886530000000000318e-02
2.000000000000000000e+04,3.114985000000000115e-01,1.179579999999999934e-01
5.000000000000000000e+04,7.375294000000000016e-01,1.710711000000000037e-01
1.000000000000000000e+05,1.282637500000000097e+00,2.137585999999999931e-01
