# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.238519999999999982e-02,4.123090000000000088e-02
2.000000000000000000e+02,1.037037999999999988e-01,5.853230000000000238e-02
5.000000000000000000e+02,2.493591000000000002e-01,9.029539999999999789e-02
1.000000000000000000e+03,4.702915999999999763e-01,1.132371999999999962e-01
2.000000000000000000e+03,8.318910999999999945e-01,1.501538000000000039e-01
5.000000000000000000e+03,1.635450599999999977e+00,1.836019000000000123e-01
1.000000000000000000e+04,2.319081600000000076e+00,1.728617000000000070e-01
2.000000000000000000e+04,2.951164200000000015e+00,1.627697999999999923e-01
5.000000000000000000e+04,3.720323599999999953e+00,1.347191000000000083e-01
1.000000000000000000e+05,4.295938699999999777e+00,1.596795000000000020e-01
1.000000000000000000e+06,5.715252099999999835e+00,9.072330000000000672e-02
