# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.954099999999999848e-03,1.026780000000000054e-02
2.000000000000000000e+02,3.778899999999999967e-03,1.416800000000000004e-02
5.000000000000000000e+02,9.248100000000000417e-03,2.244720000000000049e-02
1.000000000000000000e+03,1.809790000000000010e-02,3.142400000000000054e-02
2.000000000000000000e+03,3.624430000000000013e-02,4.387019999999999809e-02
5.000000000000000000e+03,9.088789999999999369e-02,7.022609999999999963e-02
1.000000000000000000e+04,1.853556000000000092e-01,8.933539999999999537e-02
2.000000000000000000e+04,3.797225000000000183e-01,1.242874000000000062e-01
5.000000000000000000e+04,1.028903399999999912e+00,2.073318000000000105e-01
1.000000000000000000e+05,2.087901700000000194e+00,2.654166000000000025e-01
1.000000000000000000e+06,5.313283400000000434e+00,1.690108999999999917e-01
