# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.176000000000000221e-04,4.122599999999999702e-03
2.000000000000000000e+02,6.566999999999999704e-04,5.909400000000000416e-03
5.000000000000000000e+02,1.308099999999999975e-03,8.358400000000000205e-03
1.000000000000000000e+03,2.729200000000000202e-03,1.214830000000000076e-02
2.000000000000000000e+03,5.474599999999999606e-03,1.701909999999999881e-02
5.000000000000000000e+03,1.380759999999999973e-02,2.700719999999999857e-02
1.000000000000000000e+04,2.767750000000000071e-02,3.802309999999999718e-02
2.000000000000000000e+04,5.578489999999999838e-02,5.481189999999999674e-02
5.000000000000000000e+04,1.356159000000000114e-01,8.557620000000000504e-02
1.000000000000000000e+05,2.674098999999999782e-01,1.030806999999999973e-01
