# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.521768999999999816e-01,7.100109999999999755e-02
2.000000000000000000e+02,4.285964999999999914e-01,9.168339999999999823e-02
5.000000000000000000e+02,9.335449999999999582e-01,1.191856000000000027e-01
1.000000000000000000e+03,1.547521399999999936e+00,1.524694000000000049e-01
2.000000000000000000e+03,2.267972400000000111e+00,1.558807000000000109e-01
5.000000000000000000e+03,3.305910900000000208e+00,1.509016999999999997e-01
1.000000000000000000e+04,4.039394299999999660e+00,1.621199999999999863e-01
2.000000000000000000e+04,4.688351700000000122e+00,1.362723000000000129e-01
5.000000000000000000e+04,5.430028899999999936e+00,1.306758000000000086e-01
1.000000000000000000e+05,5.933203999999999922e+00,1.404648000000000008e-01
1.000000000000000000e+06,7.777712099999999573e+00,1.284434000000000131e-01
